Name of region,Status of region,state_code,AP,LegiScan State,LegiScan Chambers,chamber_code,chamber,LegiScan Types,type_code,type,optional_flag,single_bill_type_flag,bill_prefix,bill_prefix_description
West Virginia,State,WV,W.Va.,West Virginia,H-House,H,House,CR-Concurrent Resolution,CR,Concurrent Resolution,False,False,HCR,House Concurrent Resolution
West Virginia,State,WV,W.Va.,West Virginia,H-House,H,House,JR-Joint Resolution,JR,Joint Resolution,False,False,HJR,House Joint Resolution
West Virginia,State,WV,W.Va.,West Virginia,S-Senate,S,Senate,B-Bill,B,Bill,False,False,SB,Senate Bill
West Virginia,State,WV,W.Va.,West Virginia,S-Senate,S,Senate,R-Resolution,R,Resolution,False,False,SR,Senate Resolution
West Virginia,State,WV,W.Va.,West Virginia,S-Senate,S,Senate,CR-Concurrent Resolution,CR,Concurrent Resolution,False,False,SCR,Senate Concurrent Resolution
West Virginia,State,WV,W.Va.,West Virginia,S-Senate,S,Senate,JR-Joint Resolution,JR,Joint Resolution,False,False,SJR,Senate Joint Resolution
Wisconsin,State,WI,Wis.,Wisconsin,A-Assembly,A,Assembly,B-Bill,B,Bill,False,False,AB,Assembly Bill
Wisconsin,State,WI,Wis.,Wisconsin,A-Assembly,A,Assembly,R-Resolution,R,Resolution,False,False,AR,Assembly Resolution
Wisconsin,State,WI,Wis.,Wisconsin,A-Assembly,A,Assembly,JR-Joint Resolution,JR,Joint Resolution,False,False,AJR,Assembly Joint Resolution
Wisconsin,State,WI,Wis.,Wisconsin,S-Senate,S,Senate,B-Bill,B,Bill,False,False,SB,Senate Bill
Wisconsin,State,WI,Wis.,Wisconsin,S-Senate,S,Senate,R-Resolution,R,Resolution,False,False,SR,Senate Resolution
Wisconsin,State,WI,Wis.,Wisconsin,S-Senate,S,Senate,JR-Joint Resolution,JR,Joint Resolution,False,False,SJR,Senate Joint Resolution
Wyoming,State,WY,Wyo.,Wyoming,H-House,H,House,B-Bill,B,Bill,False,False,HB,House Bill
Wyoming,State,WY,Wyo.,Wyoming,H-House,H,House,J-Joint Resolution,J,Joint Resolution,False,False,HJ,House Joint Resolution
Wyoming,State,WY,Wyo.,Wyoming,S-Senate,S,Senate,F-Bill (In Senate),F,Bill (In Senate),False,False,SF,Senate Bill (In Senate)
Wyoming,State,WY,Wyo.,Wyoming,S-Senate,S,Senate,J-Joint Resolution,J,Joint Resolution,False,False,SJ,Senate Joint Resolution
US Congress,,,,US Congress,H-House,H,House,B-Bill,B,Bill,False,False,HB,House Bill
US Congress,,,,US Congress,H-House,H,House,R-Resolution,R,Resolution,False,False,HR,House Resolution
US Congress,,,,US Congress,H-House,H,House,CR-Concurrent Resolution,CR,Concurrent Resolution,False,False,HCR,House Concurrent Resolution
US Congress,,,,US Congress,H-House,H,House,JR-Joint Resolution,JR,Joint Resolution,False,False,HJR,House Joint Resolution
US Congress,,,,US Congress,S-Senate,S,Senate,B-Bill,B,Bill,False,False,SB,Senate Bill
US Congress,,,,US Congress,S-Senate,S,Senate,R-Resolution,R,Resolution,False,False,SR,Senate Resolution
US Congress,,,,US Congress,S-Senate,S,Senate,CR-Concurrent Resolution,CR,Concurrent Resolution,False,False,SCR,Senate Concurrent Resolution
US Congress,,,,US Congress,S-Senate,S,Senate,JR-Joint Resolution,JR,Joint Resolution,False,False,SJR,Senate Joint Resolution
